ISO3,Country,Residence Type,Service Type,Year,Coverage,Population,Service level
AFG,Afghanistan,rural,Sanitation,2005,13.22322,2494427.33308,Safely managed service
AFG,Afghanistan,urban,Sanitation,2005,12.3248,682864.01544,Safely managed service
AFG,Afghanistan,total,Drinking water,2005,14.72655,3593951.8129,Safely managed service
AFG,Afghanistan,rural,Drinking water,2005,11.81932,2229595.48431,Safely managed service
AFG,Afghanistan,urban,Drinking water,2005,24.62484,1364356.23744,Safely managed service
AFG,Afghanistan,total,Sanitation,2005,43.90966,10715963.50397,Unimproved
AFG,Afghanistan,rural,Sanitation,2005,44.8275,8456259.18225,Unimproved
AFG,Afghanistan,urban,Sanitation,2005,40.7847,2259704.05345,Unimproved
AFG,Afghanistan,total,Drinking water,2005,37.11596,9057988.7865,Unimproved
AFG,Afghanistan,rural,Drinking water,2005,40.54978,7649309.33288,Unimproved
AFG,Afghanistan,urban,Drinking water,2005,25.42481,1408679.24075,Unimproved
AFG,Afghanistan,total,Hygiene,2006,35.42487,9006452.81378,Basic service
AFG,Afghanistan,rural,Hygiene,2006,26.30723,5156269.02457,Basic service
AFG,Afghanistan,urban,Hygiene,2006,66.11009,3850183.47434,Basic service
AFG,Afghanistan,total,Sanitation,2006,15.73359,4000123.71307,Basic service
AFG,Afghanistan,rural,Sanitation,2006,12.54399,2458645.71811,Basic service
AFG,Afghanistan,urban,Sanitation,2006,26.46815,1541477.74635,Basic service
AFG,Afghanistan,total,Drinking water,2006,24.67335,6272974.56959,Basic service
AFG,Afghanistan,rural,Drinking water,2006,19.90495,3901409.05459,Basic service
AFG,Afghanistan,urban,Drinking water,2006,40.72128,2371565.35445,Basic service
AFG,Afghanistan,total,Hygiene,2006,26.61256,6766002.95745,Limited service
AFG,Afghanistan,rural,Hygiene,2006,29.59429,5800539.36634,Limited service
AFG,Afghanistan,urban,Hygiene,2006,16.57761,965463.22109,Limited service
AFG,Afghanistan,total,Sanitation,2006,6.7099,1705932.33969,Limited service
AFG,Afghanistan,rural,Sanitation,2006,3.51737,689411.93915,Limited service
